id,label,latitude,longitude
80,"Remainder of Kentucky, Kentucky",37.66814,-84.670067
81,"Remainder of Louisiana, Louisiana",31.169546,-91.867805
82,"Remainder of Maine, Maine",44.693947,-69.381927
83,"Remainder of Maryland, Maryland",39.063946,-76.802101
84,"Remainder of Massachusetts, Massachusetts",42.230171,-71.530106
85,"Remainder of Michigan, Michigan",43.326618,-84.536095
86,"Remainder of Minnesota, Minnesota",45.694454,-93.900192
87,"Remainder of Mississippi, Mississippi",32.741646,-89.678696
88,"Remainder of Missouri, Missouri",38.456085,-92.288368
89,"Remainder of Montana, Montana",46.921925,-110.454353
90,"Remainder of Nebraska, Nebraska",41.12537,-98.268082
91,"Remainder of Nevada, Nevada",38.313515,-117.055374
92,"Remainder of New Hampshire, New Hampshire",43.452492,-71.563896
93,"Remainder of New Mexico, New Mexico",34.840515,-106.248482
94,"Remainder of New York, New York",42.165726,-74.948051
95,"Remainder of North Carolina, North Carolina",35.630066,-79.806419
96,"Remainder of North Dakota, North Dakota",47.528912,-99.784012
97,"Remainder of Ohio, Ohio",40.388783,-82.764915
98,"Remainder of Oklahoma, Oklahoma",35.565342,-96.928917
99,"Remainder of Oregon, Oregon",44.572021,-122.070938
100,"Remainder of Pennsylvania, Pennsylvania",40.590752,-77.209755
101,"Remainder of South Carolina, South Carolina",33.856892,-80.945007
102,"Remainder of South Dakota, South Dakota",44.299782,-99.438828
103,"Remainder of Tennessee, Tennessee",35.747845,-86.692345
104,"Remainder of Texas, Texas",31.054487,-97.563461
105,"Remainder of Utah, Utah",40.150032,-111.862434
106,"Remainder of Vermont, Vermont",44.045876,-72.710686
107,"Remainder of Virginia, Virginia",37.769337,-78.169968
108,"Remainder of Washington, Washington",47.400902,-121.490494
109,"Remainder of West Virginia, West Virginia",38.491226,-80.954453
110,"Remainder of Wisconsin, Wisconsin",44.268543,-89.616508
111,"Remainder of Wyoming, Wyoming",42.755966,-107.30249
112,"Richmond, VA CFS Area; Virginia",37.769337,-78.169968
113,"Rochester-Batavia-Seneca Falls, NY CFS Area; New York",43.1547845,-77.6155567
114,"Sacramento-Roseville, CA CFS Area; California",36.116203,-119.681564
115,"Salt Lake City-Provo-Orem, UT CFS Area; Utah",40.7607793,-111.8910474
116,"San Antonio-New Braunfels, TX CFS Area; Texas",29.4241219,-98.4936282
117,"San Diego-Carlsbad-San Marcos, CA CFS Area; California",32.7153292,-117.1572551
118,"San Jose-San Francisco-Oakland, CA CFS Area; California",37.3393857,-121.8949555
119,"Savannah-Hinesville-Statesboro, GA CFS Area; Georgia",32.0835407,-81.0998342
120,"Seattle-Tacoma, WA CFS Area; Washington",47.400902,-121.490494
121,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (IL Part); Illinois",38.646991,-90.224967
122,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part); Missouri",38.646991,-90.224967
123,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",27.766279,-81.686783
124,"Tucson-Nogales, AZ CFS Area; Arizona",32.2217429,-110.926479
125,"Tulsa-Muskogee-Bartlesville, OK CFS Area; Oklahoma",36.1539816,-95.992775
126,"Urban Honolulu, HI CFS Area; Hawaii",21.094318,-157.498337
127,"Virginia Beach-Norfolk, VA-NC CFS Area (VA Part); Virginia",37.769337,-78.169968
128,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (DC Part); District of Columbia",35.5465517,-77.0521742
129,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (MD Part); Maryland",35.5465517,-77.0521742
130,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (VA Part); Virginia",35.5465517,-77.0521742
131,"Wichita-Arkansas City-Winfield, KS CFS Area; Kansas",38.5266,-96.726486
