Colors	Colors	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"
Colors	Labels	AlbanyNY	AtlantaGA	AustinTX	BaltimoreMD	BatonRougeLA	BeaumontTX	BirminghamAL	BostonMA	BuffaloNY	CharlestonSC	CharlotteNC	ChicagoIL	CincinnatiOH	ClevelandOH	ColumbusOH	CorpusChristiTX	DallasTX	DaytonOH	DenverCO	DetroitMI	ElPasoTX	FortWayneIN	FresnoCA	GrandRapidsMI	GreensboroNC	GreenvilleSC	HartfordCT	HoustonTX	IndianapolisIN	JacksonvilleFL	KansasCityMO	KnoxvilleTN	LakeCharlesLA	LaredoTX	LasVegasNV	LosAngelesCA	LouisvilleKY	MemphisTN	MiamiFL	MilwaukeeWI	MinneapolisMN	MobileAL	NashvilleTN	NewOrleansLA	NewYorkNY	OklahomaCityOK	OmahaNE	OrlandoFL	PhiladelphiaPA	PhoenixAZ	PittsburghPA	PortlandOR	RaleighNC	otherAL	otherAK	otherAZ	otherAR	otherCA	otherCO	otherCT	otherDE	otherFL	otherGA	otherHI	otherID	otherIL	otherIN	otherIA	otherKS	otherKY	otherLA	otherME	otherMD	otherMA	otherMI	otherMN	otherMS	otherMO	otherMT	otherNE	otherNV	otherNH	otherNM	otherNY	otherNC	otherND	otherOH	otherOK	otherOR	otherPA	otherSC	otherSD	otherTN	otherTX	otherUT	otherVT	otherVA	otherWA	otherWV	otherWI	otherWY	RichmondVA	RochesterNY	SacramentoCA	SaltLakeCityUT	SanAntonioTX	SanDiegoCA	SanJoseCA	SavannahGA	SeattleWA	StLouisMO	TampaFL	TucsonAZ	TulsaOK	UrbanHonoluluHI	VirginiaBeachVA	WashingtonDC	WichitaKS
"50,50,50"	CharlestonSC	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
"50,50,50"	CharlotteNC	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	27	0	0	0	0	0	0	7	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	ChicagoIL	0	0	0	0	0	0	0	0	0	0	0	2353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	51	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	802	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	CincinnatiOH	0	0	0	7	0	0	0	0	0	19	0	19	94	1	0	0	0	0	0	4	0	2	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	31	0	0	1	0	0	159	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"50,50,50"	ClevelandOH	0	0	0	0	0	0	0	0	4	0	0	0	0	1653	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	ColumbusOH	0	0	0	0	0	0	0	0	0	0	2	0	164	326	0	0	0	0	0	18	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	9	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	CorpusChristiTX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	DallasTX	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	787	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	5	0	0	1	0	0	0	0
"50,50,50"	DaytonOH	0	0	0	0	0	0	0	0	0	0	0	0	43	14	0	0	0	81	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	DenverCO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	12	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	5	0	0	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	DetroitMI	0	0	0	0	0	0	0	0	53	0	0	0	0	0	10	0	0	0	0	900	0	310	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	ElPasoTX	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	64	0	0	0	0	0	3	0	0	0	0	9	0	0	0	13	3	0	0	0	0	0	0	16	0	0	0	0	0	8	0	0	0	0	0	0	3	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	3	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
"50,50,50"	FortWayneIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
